Feature ENSEMBLE ID	Entrezgene	External Gene Name	Gene Biotype	External Gene Source	Transcript count	Description	K27M  vs WT day0 logFC	K27M  vs WT day0 Ci.L	K27M  vs WT day0 Ci.R	K27M  vs WT day0 p-value	 K27M  vs WT day0 Adj. p-value	K27M  vs WT day5 LogFC	 K27M  vs WT day5 Ci.L	K27M  vs WT day5 Ci.R	 K27M  vs WT day5  p-value	K27M  vs WT day5  adj p-value	WT day 5 vs WT day 0 logFC	WT day 5 vs WT day 0 CI.L	WT day 5 vs WT day 0 CI.R	WT day 5 vs WT day 0 p-value	WT day 5 vs WT day 0 Adj p-value	K27M day 5 vs K27M day 0 logFC	K27M day 5 vs K27M day 0 CI.L	K27M day 5 vs K27M day 0 CI.R	K27M day 5 vs K27M day 0 p-value	K27M day 5 vs K27M day 0 Adj p-value	
ENSG00000116711	5321	PLA2G4A	protein_coding	HGNC Symbol	2	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	0.88	0.38	1.38	0.00	0.01	2.89	2.20	3.59	0.00	0.00	-1.72	-2.50	-0.95	0.00	0.00	0.29	-0.07	0.64	0.11	0.14	
ENSG00000116717	1647	GADD45A	protein_coding	HGNC Symbol	5	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	-0.56	-1.02	-0.11	0.02	0.10	-0.67	-1.09	-0.26	0.00	0.01	0.75	0.27	1.23	0.00	0.01	0.64	0.25	1.03	0.00	0.00	
ENSG00000116729	79971	WLS	protein_coding	HGNC Symbol	14	wntless Wnt ligand secretion mediator [Source:HGNC Symbol;Acc:HGNC:30238]	0.39	-0.51	1.29	0.39	0.64	3.81	3.29	4.34	0.00	0.00	2.44	1.57	3.31	0.00	0.00	5.87	5.30	6.44	0.00	0.00	
ENSG00000116731	7799	PRDM2	protein_coding	HGNC Symbol	14	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	0.05	-0.26	0.37	0.73	0.88	0.74	0.44	1.04	0.00	0.00	0.16	-0.19	0.52	0.36	0.43	0.85	0.60	1.09	0.00	0.00	
ENSG00000116741	5997	RGS2	protein_coding	HGNC Symbol	4	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	0.02	-0.39	0.44	0.91	0.96	1.12	0.64	1.60	0.00	0.00	-0.97	-1.51	-0.44	0.00	0.00	0.12	-0.22	0.47	0.47	0.53	
ENSG00000116745	6121	RPE65	protein_coding	HGNC Symbol	1	"RPE65, retinoid isomerohydrolase [Source:HGNC Symbol;Acc:HGNC:10294]"	0.47	-0.57	1.52	0.36	0.62	3.79	3.11	4.47	0.00	0.00	2.74	1.66	3.81	0.00	0.00	6.05	5.42	6.69	0.00	0.00	
ENSG00000116747	6738	TROVE2	protein_coding	HGNC Symbol	12	TROVE domain family member 2 [Source:HGNC Symbol;Acc:HGNC:11313]	0.20	-0.01	0.40	0.06	0.22	0.54	0.33	0.76	0.00	0.00	0.50	0.26	0.74	0.00	0.00	0.85	0.67	1.02	0.00	0.00	
ENSG00000116750	51377	UCHL5	protein_coding	HGNC Symbol	13	ubiquitin C-terminal hydrolase L5 [Source:HGNC Symbol;Acc:HGNC:19678]	0.17	-0.06	0.41	0.13	0.35	0.86	0.62	1.11	0.00	0.00	-0.48	-0.76	-0.20	0.00	0.00	0.21	0.02	0.40	0.03	0.05	
ENSG00000116752	10286	BCAS2	protein_coding	HGNC Symbol	2	"BCAS2, pre-mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:975]"	-0.02	-0.26	0.22	0.87	0.95	0.10	-0.12	0.33	0.36	0.48	0.70	0.43	0.96	0.00	0.00	0.82	0.63	1.01	0.00	0.00	
ENSG00000116754	9295	SRSF11	protein_coding	HGNC Symbol	16	serine and arginine rich splicing factor 11 [Source:HGNC Symbol;Acc:HGNC:10782]	0.17	0.01	0.33	0.04	0.16	0.38	0.21	0.55	0.00	0.00	0.22	0.03	0.40	0.03	0.04	0.42	0.29	0.56	0.00	0.00	
ENSG00000116761	1491	CTH	protein_coding	HGNC Symbol	5	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	-0.11	-0.37	0.15	0.39	0.65	-0.17	-0.51	0.18	0.33	0.45	-1.25	-1.59	-0.91	0.00	0.00	-1.31	-1.57	-1.05	0.00	0.00	
ENSG00000116771	79814	AGMAT	protein_coding	HGNC Symbol	1	agmatinase [Source:HGNC Symbol;Acc:HGNC:18407]	0.41	-0.01	0.82	0.06	0.21	-0.36	-0.80	0.09	0.11	0.19	0.05	-0.44	0.54	0.84	0.87	-0.71	-1.07	-0.35	0.00	0.00	
ENSG00000116774	56944	OLFML3	protein_coding	HGNC Symbol	5	olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]	0.13	-0.55	0.80	0.70	0.86	-0.67	-1.38	0.05	0.07	0.13	-0.61	-1.40	0.18	0.12	0.17	-1.40	-1.99	-0.81	0.00	0.00	
ENSG00000116786	23207	PLEKHM2	protein_coding	HGNC Symbol	4	pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131]	-0.02	-0.23	0.18	0.81	0.92	0.64	0.42	0.85	0.00	0.00	-0.34	-0.58	-0.11	0.01	0.01	0.32	0.14	0.49	0.00	0.00	
ENSG00000116791	1429	CRYZ	protein_coding	HGNC Symbol	7	crystallin zeta [Source:HGNC Symbol;Acc:HGNC:2419]	0.15	-0.06	0.37	0.15	0.38	-0.11	-0.33	0.11	0.32	0.44	-0.02	-0.26	0.23	0.89	0.91	-0.28	-0.46	-0.10	0.00	0.01	
ENSG00000116793	10745	PHTF1	protein_coding	HGNC Symbol	12	putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]	0.05	-0.25	0.34	0.75	0.89	0.46	0.19	0.73	0.00	0.01	1.17	0.85	1.50	0.00	0.00	1.58	1.35	1.82	0.00	0.00	
ENSG00000116809	7709	ZBTB17	protein_coding	HGNC Symbol	16	zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]	-0.24	-0.57	0.08	0.14	0.36	0.61	0.28	0.95	0.00	0.00	-0.37	-0.75	0.01	0.05	0.08	0.48	0.21	0.75	0.00	0.00	
ENSG00000116815	965	CD58	protein_coding	HGNC Symbol	5	CD58 molecule [Source:HGNC Symbol;Acc:HGNC:1688]	0.44	0.03	0.85	0.04	0.16	1.09	0.69	1.49	0.00	0.00	0.03	-0.46	0.52	0.91	0.93	0.68	0.38	0.98	0.00	0.00	
ENSG00000116819	339488	TFAP2E	protein_coding	HGNC Symbol	1	transcription factor AP-2 epsilon [Source:HGNC Symbol;Acc:HGNC:30774]	-1.39	-1.98	-0.80	0.00	0.00	0.09	-0.61	0.79	0.79	0.85	-1.26	-1.96	-0.55	0.00	0.00	0.22	-0.36	0.81	0.44	0.49	
ENSG00000116830	8458	TTF2	protein_coding	HGNC Symbol	7	transcription termination factor 2 [Source:HGNC Symbol;Acc:HGNC:12398]	-0.16	-0.41	0.09	0.19	0.43	0.17	-0.09	0.42	0.19	0.29	-0.38	-0.66	-0.09	0.01	0.02	-0.04	-0.25	0.17	0.67	0.72	
ENSG00000116833	2494	NR5A2	protein_coding	HGNC Symbol	6	nuclear receptor subfamily 5 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7984]	-0.88	-1.38	-0.39	0.00	0.01	-0.32	-1.13	0.50	0.43	0.55	-2.74	-3.49	-2.00	0.00	0.00	-2.18	-2.77	-1.58	0.00	0.00	
ENSG00000116852	23046	KIF21B	protein_coding	HGNC Symbol	5	kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442]	0.35	0.04	0.65	0.03	0.13	1.25	0.88	1.61	0.00	0.00	-2.01	-2.40	-1.61	0.00	0.00	-1.11	-1.37	-0.85	0.00	0.00	
ENSG00000116857	252839	TMEM9	protein_coding	HGNC Symbol	11	transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]	0.06	-0.21	0.33	0.66	0.84	0.24	-0.03	0.52	0.08	0.15	0.06	-0.25	0.37	0.69	0.75	0.25	0.02	0.47	0.03	0.05	
ENSG00000116863	54936	ADPRHL2	protein_coding	HGNC Symbol	1	ADP-ribosylhydrolase like 2 [Source:HGNC Symbol;Acc:HGNC:21304]	-0.07	-0.35	0.21	0.62	0.82	0.51	0.24	0.79	0.00	0.00	0.23	-0.09	0.55	0.15	0.20	0.81	0.59	1.04	0.00	0.00	
ENSG00000116871	55700	MAP7D1	protein_coding	HGNC Symbol	13	MAP7 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25514]	-0.31	-0.58	-0.04	0.02	0.12	0.70	0.43	0.97	0.00	0.00	0.15	-0.16	0.46	0.32	0.39	1.16	0.94	1.39	0.00	0.00	
ENSG00000116874	10352	WARS2	protein_coding	HGNC Symbol	5	"tryptophanyl tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12730]"	0.03	-0.24	0.29	0.84	0.93	0.28	0.04	0.51	0.02	0.05	0.63	0.33	0.92	0.00	0.00	0.88	0.67	1.08	0.00	0.00	
ENSG00000116883	NA	AL591845.1	antisense_RNA	Clone-based (Ensembl) gene	1		-0.49	-1.05	0.07	0.09	0.27	-0.85	-1.40	-0.29	0.00	0.01	0.33	-0.27	0.94	0.27	0.34	-0.02	-0.53	0.49	0.92	0.94	
ENSG00000116885	127700	OSCP1	protein_coding	HGNC Symbol	12	organic solute carrier partner 1 [Source:HGNC Symbol;Acc:HGNC:29971]	0.31	-0.24	0.87	0.26	0.52	0.30	0.00	0.61	0.05	0.11	2.73	2.20	3.26	0.00	0.00	2.72	2.37	3.07	0.00	0.00	
ENSG00000116898	64960	MRPS15	protein_coding	HGNC Symbol	4	mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]	0.05	-0.15	0.24	0.62	0.82	-0.07	-0.27	0.14	0.51	0.63	-0.19	-0.42	0.04	0.10	0.14	-0.30	-0.47	-0.14	0.00	0.00	
ENSG00000116903	149371	EXOC8	protein_coding	HGNC Symbol	1	exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659]	-0.04	-0.31	0.22	0.73	0.88	0.52	0.25	0.78	0.00	0.00	-0.07	-0.38	0.23	0.63	0.70	0.49	0.28	0.70	0.00	0.00	
ENSG00000116906	8443	GNPAT	protein_coding	HGNC Symbol	5	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	-0.05	-0.29	0.19	0.68	0.85	0.52	0.28	0.76	0.00	0.00	0.62	0.34	0.89	0.00	0.00	1.18	0.98	1.38	0.00	0.00	
ENSG00000116918	7257	TSNAX	protein_coding	HGNC Symbol	5	translin associated factor X [Source:HGNC Symbol;Acc:HGNC:12380]	-0.03	-0.29	0.24	0.84	0.93	0.23	-0.03	0.48	0.08	0.14	0.36	0.06	0.66	0.02	0.03	0.61	0.40	0.83	0.00	0.00	
ENSG00000116922	54955	C1orf109	protein_coding	HGNC Symbol	14	chromosome 1 open reading frame 109 [Source:HGNC Symbol;Acc:HGNC:26039]	-0.03	-0.25	0.18	0.77	0.90	0.60	0.39	0.82	0.00	0.00	-0.09	-0.34	0.16	0.47	0.54	0.55	0.37	0.72	0.00	0.00	
ENSG00000116954	64121	RRAGC	protein_coding	HGNC Symbol	4	Ras related GTP binding C [Source:HGNC Symbol;Acc:HGNC:19902]	0.15	-0.16	0.45	0.33	0.59	0.69	0.39	0.98	0.00	0.00	0.04	-0.31	0.39	0.83	0.86	0.58	0.34	0.81	0.00	0.00	
ENSG00000116957	6905	TBCE	protein_coding	HGNC Symbol	7	tubulin folding cofactor E [Source:HGNC Symbol;Acc:HGNC:11582]	0.06	-0.12	0.25	0.48	0.72	0.30	0.11	0.48	0.00	0.01	0.03	-0.18	0.24	0.80	0.84	0.26	0.11	0.41	0.00	0.00	
ENSG00000116962	4811	NID1	protein_coding	HGNC Symbol	2	nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]	0.58	0.27	0.88	0.00	0.01	1.87	1.55	2.18	0.00	0.00	-0.45	-0.81	-0.09	0.02	0.03	0.84	0.59	1.09	0.00	0.00	
ENSG00000116977	3964	LGALS8	protein_coding	HGNC Symbol	28	galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]	0.15	-0.29	0.59	0.49	0.72	1.59	1.15	2.04	0.00	0.00	-0.37	-0.90	0.16	0.16	0.21	1.07	0.75	1.39	0.00	0.00	
ENSG00000116984	4548	MTR	protein_coding	HGNC Symbol	5	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]	0.11	-0.15	0.36	0.39	0.64	1.06	0.80	1.32	0.00	0.00	-0.17	-0.46	0.13	0.25	0.32	0.78	0.57	1.00	0.00	0.00	
ENSG00000116985	656	BMP8B	protein_coding	HGNC Symbol	1	bone morphogenetic protein 8b [Source:HGNC Symbol;Acc:HGNC:1075]	-1.92	-2.51	-1.34	0.00	0.00	-0.50	-1.12	0.12	0.11	0.19	-0.77	-1.38	-0.15	0.02	0.03	0.66	0.07	1.25	0.03	0.04	
ENSG00000116990	4610	MYCL	protein_coding	HGNC Symbol	4	"MYCL proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7555]"	0.04	-0.25	0.33	0.78	0.91	0.85	0.53	1.16	0.00	0.00	-0.89	-1.24	-0.54	0.00	0.00	-0.09	-0.33	0.16	0.47	0.52	
ENSG00000116991	57568	SIPA1L2	protein_coding	HGNC Symbol	6	signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]	-0.01	-0.22	0.21	0.95	0.98	-0.20	-0.41	0.00	0.05	0.10	2.21	1.97	2.45	0.00	0.00	2.01	1.84	2.19	0.00	0.00	
ENSG00000117000	6018	RLF	protein_coding	HGNC Symbol	1	rearranged L-myc fusion [Source:HGNC Symbol;Acc:HGNC:10025]	0.20	-0.02	0.41	0.07	0.24	0.31	0.10	0.52	0.01	0.02	0.76	0.52	1.00	0.00	0.00	0.88	0.70	1.05	0.00	0.00	
ENSG00000117010	127396	ZNF684	protein_coding	HGNC Symbol	6	zinc finger protein 684 [Source:HGNC Symbol;Acc:HGNC:28418]	-0.11	-0.36	0.14	0.37	0.63	0.68	0.39	0.97	0.00	0.00	-0.91	-1.22	-0.59	0.00	0.00	-0.12	-0.33	0.09	0.26	0.31	
ENSG00000117013	9132	KCNQ4	protein_coding	HGNC Symbol	4	potassium voltage-gated channel subfamily Q member 4 [Source:HGNC Symbol;Acc:HGNC:6298]	-0.09	-0.47	0.28	0.62	0.81	0.71	0.10	1.31	0.02	0.06	-2.25	-2.85	-1.65	0.00	0.00	-1.45	-1.84	-1.06	0.00	0.00	
ENSG00000117016	9783	RIMS3	protein_coding	HGNC Symbol	2	regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]	-0.17	-0.39	0.05	0.13	0.35	0.51	0.27	0.74	0.00	0.00	-0.67	-0.93	-0.41	0.00	0.00	0.00	-0.19	0.19	0.99	0.99	
ENSG00000117036	2117	ETV3	protein_coding	HGNC Symbol	3	ETS variant 3 [Source:HGNC Symbol;Acc:HGNC:3492]	-0.01	-0.24	0.22	0.91	0.96	0.53	0.30	0.76	0.00	0.00	-0.09	-0.36	0.17	0.48	0.55	0.45	0.26	0.64	0.00	0.00	
ENSG00000117054	34	ACADM	protein_coding	HGNC Symbol	18	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	0.46	0.14	0.79	0.01	0.05	0.76	0.45	1.07	0.00	0.00	0.62	0.26	0.99	0.00	0.00	0.92	0.66	1.17	0.00	0.00	
ENSG00000117069	81849	ST6GALNAC5	protein_coding	HGNC Symbol	5	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:19342]"	0.59	0.15	1.03	0.01	0.07	-0.01	-0.28	0.27	0.95	0.97	2.94	2.50	3.37	0.00	0.00	2.34	2.06	2.63	0.00	0.00	
ENSG00000117114	23266	ADGRL2	protein_coding	HGNC Symbol	22	adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]	0.22	-0.11	0.54	0.18	0.42	1.18	0.85	1.52	0.00	0.00	0.68	0.31	1.05	0.00	0.00	1.64	1.37	1.92	0.00	0.00	
ENSG00000117115	11240	PADI2	protein_coding	HGNC Symbol	4	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]	-0.55	-0.93	-0.18	0.00	0.04	-0.82	-1.27	-0.37	0.00	0.00	-0.67	-1.11	-0.23	0.00	0.01	-0.93	-1.31	-0.55	0.00	0.00	
ENSG00000117118	6390	SDHB	protein_coding	HGNC Symbol	8	succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]	-0.19	-0.44	0.06	0.13	0.35	0.50	0.22	0.78	0.00	0.00	-1.34	-1.65	-1.04	0.00	0.00	-0.66	-0.87	-0.44	0.00	0.00	
ENSG00000117122	4237	MFAP2	protein_coding	HGNC Symbol	6	microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]	0.12	-0.14	0.37	0.35	0.61	-0.18	-0.43	0.07	0.14	0.24	0.99	0.70	1.28	0.00	0.00	0.69	0.48	0.90	0.00	0.00	
ENSG00000117133	80135	RPF1	protein_coding	HGNC Symbol	2	ribosome production factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:30350]	0.28	0.06	0.49	0.01	0.08	0.49	0.29	0.70	0.00	0.00	0.31	0.07	0.55	0.01	0.02	0.53	0.36	0.69	0.00	0.00	
ENSG00000117139	10765	KDM5B	protein_coding	HGNC Symbol	10	lysine demethylase 5B [Source:HGNC Symbol;Acc:HGNC:18039]	0.05	-0.13	0.23	0.56	0.77	0.13	-0.05	0.32	0.15	0.24	0.10	-0.11	0.30	0.34	0.41	0.18	0.03	0.33	0.02	0.03	
ENSG00000117143	6675	UAP1	protein_coding	HGNC Symbol	7	UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12457]	0.10	-0.11	0.31	0.34	0.60	0.89	0.67	1.11	0.00	0.00	-0.50	-0.74	-0.25	0.00	0.00	0.30	0.12	0.47	0.00	0.00	
ENSG00000117148	81569	ACTL8	protein_coding	HGNC Symbol	2	actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]	0.84	-0.15	1.84	0.09	0.29	0.14	-0.66	0.94	0.72	0.81	1.22	0.14	2.30	0.03	0.05	0.52	-0.17	1.21	0.14	0.17	
ENSG00000117151	1486	CTBS	protein_coding	HGNC Symbol	4	chitobiase [Source:HGNC Symbol;Acc:HGNC:2496]	-0.32	-0.67	0.03	0.07	0.24	-0.37	-0.72	-0.02	0.04	0.08	0.07	-0.32	0.46	0.72	0.77	0.02	-0.29	0.33	0.90	0.92	
ENSG00000117152	5999	RGS4	protein_coding	HGNC Symbol	10	regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]	0.07	-1.23	1.38	0.91	0.96	1.50	0.60	2.40	0.00	0.01	1.42	0.09	2.75	0.04	0.06	2.85	1.99	3.71	0.00	0.00	
ENSG00000117153	59349	KLHL12	protein_coding	HGNC Symbol	3	kelch like family member 12 [Source:HGNC Symbol;Acc:HGNC:19360]	-0.25	-0.50	-0.01	0.04	0.18	0.37	0.13	0.61	0.00	0.01	0.51	0.23	0.78	0.00	0.00	1.13	0.93	1.33	0.00	0.00	
ENSG00000117154	84966	IGSF21	protein_coding	HGNC Symbol	4	immunoglobin superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:28246]	-0.57	-0.92	-0.22	0.00	0.02	-1.29	-1.87	-0.71	0.00	0.00	-1.96	-2.45	-1.46	0.00	0.00	-2.67	-3.14	-2.21	0.00	0.00	
ENSG00000117155	117178	SSX2IP	protein_coding	HGNC Symbol	10	SSX family member 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:16509]	0.30	0.09	0.51	0.01	0.05	0.75	0.54	0.97	0.00	0.00	0.04	-0.21	0.29	0.74	0.79	0.49	0.32	0.66	0.00	0.00	
ENSG00000117174	54680	ZNHIT6	protein_coding	HGNC Symbol	2	zinc finger HIT-type containing 6 [Source:HGNC Symbol;Acc:HGNC:26089]	-0.13	-0.36	0.11	0.28	0.54	0.63	0.40	0.86	0.00	0.00	0.13	-0.14	0.39	0.34	0.42	0.89	0.70	1.08	0.00	0.00	
ENSG00000117222	5929	RBBP5	protein_coding	HGNC Symbol	3	"RB binding protein 5, histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:9888]"	-0.09	-0.27	0.09	0.31	0.57	0.47	0.28	0.65	0.00	0.00	-0.15	-0.35	0.06	0.16	0.21	0.41	0.26	0.56	0.00	0.00	
ENSG00000117242	100861548	PINK1-AS	antisense_RNA	HGNC Symbol	1	PINK1 antisense RNA [Source:HGNC Symbol;Acc:HGNC:38872]	0.17	-0.28	0.61	0.45	0.70	-0.01	-0.38	0.35	0.95	0.97	1.03	0.56	1.50	0.00	0.00	0.85	0.52	1.19	0.00	0.00	
ENSG00000117245	57576	KIF17	protein_coding	HGNC Symbol	9	kinesin family member 17 [Source:HGNC Symbol;Acc:HGNC:19167]	-0.29	-0.71	0.13	0.17	0.40	0.18	-0.28	0.64	0.43	0.55	-0.54	-1.04	-0.05	0.03	0.05	-0.08	-0.44	0.29	0.67	0.72	
ENSG00000117262	653519	GPR89A	protein_coding	HGNC Symbol	13	G protein-coupled receptor 89A [Source:HGNC Symbol;Acc:HGNC:31984]	-0.10	-0.55	0.35	0.66	0.84	0.66	0.22	1.09	0.00	0.01	-0.04	-0.55	0.48	0.88	0.91	0.72	0.36	1.07	0.00	0.00	
ENSG00000117262	51463	GPR89A	protein_coding	HGNC Symbol	13	G protein-coupled receptor 89A [Source:HGNC Symbol;Acc:HGNC:31984]	-0.10	-0.55	0.35	0.66	0.84	0.66	0.22	1.09	0.00	0.01	-0.04	-0.55	0.48	0.88	0.91	0.72	0.36	1.07	0.00	0.00	
ENSG00000117266	5129	CDK18	protein_coding	HGNC Symbol	23	cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751]	-0.03	-0.30	0.24	0.83	0.93	-1.10	-1.46	-0.75	0.00	0.00	-1.26	-1.60	-0.92	0.00	0.00	-2.33	-2.62	-2.04	0.00	0.00	
ENSG00000117280	8934	RAB29	protein_coding	HGNC Symbol	9	"RAB29, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9789]"	-0.15	-0.47	0.18	0.36	0.62	1.09	0.61	1.57	0.00	0.00	-2.18	-2.67	-1.69	0.00	0.00	-0.95	-1.26	-0.64	0.00	0.00	
ENSG00000117281	11126	CD160	protein_coding	HGNC Symbol	5	CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013]	-0.22	-1.34	0.91	0.69	0.86	0.11	-0.83	1.06	0.80	0.87	0.74	-0.45	1.92	0.21	0.28	1.07	0.20	1.94	0.02	0.03	
ENSG00000117298	1889	ECE1	protein_coding	HGNC Symbol	13	endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]	0.06	-0.14	0.27	0.53	0.76	0.33	0.13	0.54	0.00	0.01	0.14	-0.09	0.38	0.22	0.28	0.42	0.25	0.59	0.00	0.00	
ENSG00000117305	3155	HMGCL	protein_coding	HGNC Symbol	9	3-hydroxymethyl-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005]	0.14	-0.19	0.48	0.39	0.64	0.28	-0.04	0.61	0.08	0.16	0.25	-0.13	0.63	0.19	0.25	0.39	0.12	0.66	0.01	0.01	
ENSG00000117308	2582	GALE	protein_coding	HGNC Symbol	16	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	-0.20	-0.49	0.08	0.16	0.39	1.03	0.72	1.34	0.00	0.00	-0.67	-1.02	-0.32	0.00	0.00	0.56	0.32	0.80	0.00	0.00	
ENSG00000117318	3399	ID3	protein_coding	HGNC Symbol	3	"inhibitor of DNA binding 3, HLH protein [Source:HGNC Symbol;Acc:HGNC:5362]"	0.68	0.28	1.08	0.00	0.02	-0.10	-0.51	0.31	0.62	0.72	0.20	-0.26	0.67	0.38	0.45	-0.57	-0.91	-0.24	0.00	0.00	
ENSG00000117322	1380	CR2	protein_coding	HGNC Symbol	7	complement C3d receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]	0.68	0.36	1.00	0.00	0.00	-0.19	-1.37	0.99	0.75	0.82	-5.57	-6.53	-4.60	0.00	0.00	-6.43	-7.18	-5.69	0.00	0.00	
ENSG00000117335	4179	CD46	protein_coding	HGNC Symbol	19	CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]	0.10	-0.15	0.35	0.43	0.68	0.22	-0.05	0.48	0.10	0.18	-1.23	-1.52	-0.93	0.00	0.00	-1.11	-1.32	-0.89	0.00	0.00	
ENSG00000117360	9129	PRPF3	protein_coding	HGNC Symbol	7	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	0.13	-0.07	0.34	0.18	0.43	0.36	0.16	0.57	0.00	0.00	0.13	-0.11	0.36	0.27	0.34	0.36	0.19	0.52	0.00	0.00	
ENSG00000117362	51107	APH1A	protein_coding	HGNC Symbol	9	"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]"	-0.13	-0.37	0.12	0.31	0.57	0.49	0.24	0.74	0.00	0.00	-0.16	-0.44	0.13	0.27	0.34	0.46	0.25	0.67	0.00	0.00	
ENSG00000117385	64175	P3H1	protein_coding	HGNC Symbol	14	prolyl 3-hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:19316]	0.00	-0.23	0.23	0.97	0.99	0.21	-0.02	0.45	0.08	0.14	0.02	-0.24	0.29	0.86	0.89	0.24	0.04	0.43	0.02	0.03	
ENSG00000117394	6513	SLC2A1	protein_coding	HGNC Symbol	9	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	0.16	-0.15	0.47	0.30	0.56	0.08	-0.24	0.41	0.59	0.70	0.32	-0.04	0.68	0.08	0.12	0.24	-0.02	0.51	0.07	0.09	
ENSG00000117395	10969	EBNA1BP2	protein_coding	HGNC Symbol	9	EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531]	-0.28	-0.56	-0.01	0.04	0.17	0.64	0.36	0.92	0.00	0.00	-0.61	-0.93	-0.29	0.00	0.00	0.32	0.09	0.54	0.01	0.01	
ENSG00000117399	991	CDC20	protein_coding	HGNC Symbol	4	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	-0.04	-0.23	0.14	0.64	0.83	0.39	0.20	0.57	0.00	0.00	-0.16	-0.37	0.06	0.14	0.20	0.27	0.12	0.43	0.00	0.00	
ENSG00000117407	9048	ARTN	protein_coding	HGNC Symbol	11	artemin [Source:HGNC Symbol;Acc:HGNC:727]	-0.18	-0.47	0.11	0.21	0.46	0.31	-0.29	0.90	0.30	0.42	-3.28	-3.82	-2.74	0.00	0.00	-2.79	-3.17	-2.41	0.00	0.00	
ENSG00000117408	9670	IPO13	protein_coding	HGNC Symbol	7	importin 13 [Source:HGNC Symbol;Acc:HGNC:16853]	0.01	-0.30	0.32	0.97	0.99	0.62	0.31	0.92	0.00	0.00	0.05	-0.30	0.41	0.76	0.80	0.67	0.42	0.92	0.00	0.00	
